Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
14,Tuesday Apr 8,boxscore,CHC,,TEX,W,10,6,,5-Sep,1,up 1.5,Hodge,Martin,,2:43,N,27694,1.01,++,
15,Wednesday Apr 9,boxscore,CHC,,TEX,L,2,6,,6-Sep,1,up 0.5,Mahle,Imanaga,,2:16,D,23590,1.06,-,
16,Friday Apr 11,boxscore,CHC,@,LAD,L,0,3,,7-Sep,1,Tied,Yamamoto,Boyd,Scott,2:23,N,53933,1.09,--,
17,Saturday Apr 12,boxscore,CHC,@,LAD,W,16,0,,7-Oct,1,up 1.0,Brown,Sasaki,,2:40,N,53887,1.03,+,
18,Sunday Apr 13,boxscore,CHC,@,LAD,W,4,2,,7-Nov,1,up 2.0,Roberts,Treinen,Pressly,2:46,D,50899,1.09,++,
19,Monday Apr 14,boxscore,CHC,@,SDP,L,4,10,,8-Nov,1,up 1.5,Morejón,Pearson,,3:10,N,47078,1.13,-,
20,Tuesday Apr 15,boxscore,CHC,@,SDP,W,2,1,10,8-Dec,1,up 1.5,Pressly,Matsui,Thielbar,3:00,N,42492,1.07,+,
21,Wednesday Apr 16,boxscore,CHC,@,SDP,L,2,4,,9-Dec,1,up 1.0,Pivetta,Boyd,Suarez,2:39,D,41562,1.17,-,
22,Friday Apr 18,boxscore,CHC,,ARI,W,13,11,,13-9,1,up 1.0,Pressly,Mantiply,,3:09,D,39109,1.1,+,
23,Saturday Apr 19,boxscore,CHC,,ARI,W,6,2,,14-9,1,up 2.0,Thielbar,Gallen,,2:35,D,36002,1.13,++,
24,Sunday Apr 20,boxscore,CHC,,ARI,L,2,3,11,14-10,1,up 1.0,Miller,Wicks,Jameson,3:15,D,29062,1.14,-,
25,Tuesday Apr 22,boxscore,CHC,,LAD,W-wo,11,10,10,15-10,1,up 1.5,Hodge,Davis,,3:21,N,36425,1.18,+,
26,Wednesday Apr 23,boxscore,CHC,,LAD,W,7,6,,16-10,1,up 2.5,Boyd,Dreyer,Hodge,2:40,N,37150,1.19,++,
27,Friday Apr 25,boxscore,CHC,,PHI,W,4,0,,17-10,1,up 3.5,Rea,Walker,,2:54,D,32880,1.22,+++,
28,Saturday Apr 26,boxscore,CHC,,PHI,L,4,10,,17-11,1,up 2.5,Luzardo,Brown,,2:58,D,40068,1.25,-,
29,Sunday Apr 27,boxscore,CHC,,PHI,L,1,3,10,17-12,1,up 1.5,Alvarado,Merryweather,Romano,2:45,N,35761,1.18,--,
30,Tuesday Apr 29,boxscore,CHC,@,PIT,W,9,0,,18-12,1,up 1.5,Imanaga,Heaney,,2:44,N,9434,1.17,+,
31,Wednesday Apr 30,boxscore,CHC,@,PIT,L,3,4,,18-13,1,up 2.0,Ferguson,Thielbar,Bednar,2:38,N,11297,1.24,-,
32,Thursday May 1,boxscore,CHC,@,PIT,W,8,3,,19-13,1,up 2.0,Rea,Skenes,,2:32,D,13633,1.19,+,
33,Friday May 2,boxscore,CHC,@,MIL,W,10,0,,20-13,1,up 2.0,Brown,Alexander,Flexen,2:34,N,34559,1.3,++,
34,Saturday May 3,boxscore,CHC,@,MIL,W,6,2,,21-13,1,up 3.0,Taillon,Quintana,,2:17,N,37335,1.29,+++,
35,Sunday May 4,boxscore,CHC,@,MIL,L,0,4,,21-14,1,up 3.0,Peralta,Imanaga,,2:28,D,37360,1.32,-,
