Rk,Player,Handedness,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,lgRF9,RF/G,lgRFG,PB,WP,SB,CS,CS%,Pick,Pos,Awards,-9999,EligiblePositions,PositionFlexibility,IsP,IsC,Is1B,Is2B,Is3B,IsSS,IsLF,IsCF,IsRF,IsOF,IsDH,IsUT
1,Miguel Vargas,R,25,41,41,36,347.1,130,53,72,5,9,.962,-1,-3,2,7,3.24,2.95,2.91,3.07,,,,,,,*5/3DH,,vargami01,"3B,1B,DH,UT",4,0,0,1,0,1,0,0,0,0,0,1,1
2,Lenyn Sosa,R,25,40,39,29,332.2,170,83,79,8,24,.953,-3,-9,-1,-4,4.38,4.47,3.31,4.57,,,,,,,*4/3H5D,,sosale01,"2B,1B,UT,3B,DH",5,0,0,1,1,1,0,0,0,0,0,1,1
3,Luis Robert Jr.,R,27,39,38,33,318.1,109,107,1,1,0,.991,1,2,0,0,3.05,2.29,2.77,2.25,,,,,,,*8/D,,roberlu01,"CF,DH",2,0,0,0,0,0,0,0,1,0,0,1,0
4,Brooks Baldwin,R,24,42,34,22,302.1,93,63,30,0,9,1.000,-7,-30,-6,-24,2.77,2.77,1.79,2.83,,,,,,,*76/4H985,,baldwbr01,"LF,SS,2B,UT,RF,CF,3B",7,0,0,0,1,1,1,1,1,1,0,0,1
5,Andrew Vaughn,R,27,31,31,26,253.2,212,199,13,0,25,1.000,-6,-28,-3,-14,7.52,8.10,6.84,7.96,,,,,,,*3D,,vaughan01,"1B,DH",2,0,0,1,0,0,0,0,0,0,0,1,0
6,Michael A. Taylor,R,34,32,27,16,227.2,73,73,0,0,0,1.000,8,45,4,21,2.89,2.29,2.28,2.25,,,,,,,*97H/8D,,taylomi02,"RF,LF,UT,CF,DH",5,0,0,0,0,0,0,1,1,1,0,1,1
7,Jacob Amaya,R,26,34,24,12,200.0,86,33,52,1,11,.988,-1,-7,-2,-12,3.83,3.71,2.50,3.58,,,,,,,*6/H1,,amayaja01,"SS,UT,P",3,1,0,0,0,0,1,0,0,0,0,0,1
8,Matt Thaiss,R,30,26,23,18,197.2,171,157,9,5,1,.971,2,12,0,0,7.56,9.00,6.15,8.81,1,5,16,6,27.3,3,2/H3D,,thaisma01,"C,UT,1B,DH",4,0,1,1,0,0,0,0,0,0,0,1,1
9,Chase Meidroth,R,23,23,21,11,183.2,77,31,45,1,9,.987,-1,-9,3,20,3.72,3.81,2.38,3.77,,,,,,,64,,meidrch01,"SS,2B",2,0,0,0,1,0,1,0,0,0,0,0,0
10,Joshua Palacios,R,29,30,21,14,177.1,39,38,0,1,0,.974,-5,-33,-5,-34,1.93,2.29,1.27,2.25,,,,,,,9/HD7,,palacjo01,"RF,UT,DH,LF",4,0,0,0,0,0,0,1,0,1,0,1,1
