Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Thursday May 15,boxscore,CHW,@,CIN,L,1,7,,14-30,5,15,Martinez,Wilson,,2:10,D,19513,0.16,-,
45,Friday May 16,boxscore,CHW,@,CHC,L,3,13,,14-31,5,16,Horton,Smith,,2:52,D,40171,0.14,--,
46,Saturday May 17,boxscore,CHW,@,CHC,L,3,7,,14-32,5,16,Boyd,Burke,,2:51,D,40134,0.12,---,
47,Sunday May 18,boxscore,CHW,@,CHC,L,2,6,,14-33,5,17,Pomeranz,Cannon,,2:38,D,40152,0.1,----,
48,Monday May 19,preview,CHW,,SEA,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
49,Tuesday May 20,preview,CHW,,SEA,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
50,Wednesday May 21,preview,CHW,,SEA,2:10 PM,2:10 PM,2:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
51,Friday May 23,preview,CHW,,TEX,7:40 PM,7:40 PM,7:40 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
52,Saturday May 24,preview,CHW,,TEX,4:10 PM,4:10 PM,4:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
53,Sunday May 25,preview,CHW,,TEX,2:10 PM,2:10 PM,2:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
54,Monday May 26,preview,CHW,@,NYM,4:10 PM,4:10 PM,4:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
55,Tuesday May 27,preview,CHW,@,NYM,7:10 PM,7:10 PM,7:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
56,Wednesday May 28,preview,CHW,@,NYM,7:10 PM,7:10 PM,7:10 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
57,Friday May 30,preview,CHW,@,BAL,7:05 PM,7:05 PM,7:05 PM,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,
