,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Total Zone,Total Zone,DRS,DRS,Range Factor,Range Factor,Range Factor,Range Factor,Baserunners,Baserunners,Baserunners,Baserunners,Baserunners,Baserunners,,,-additional
Rk,Player,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,lgRF9,RF/G,lgRFG,PB,WP,SB,CS,CS%,Pick,Pos,Awards,-9999
33,Penn Murfee,31,15,0,0,12.2,1,0,1,0,0,1.000,,,0,0,0.71,1.28,0.07,1.28,,,,,,,1,,murfepe01
34,Steven Wilson,30,12,0,0,12.1,0,0,0,0,0,,,,0,0,0.00,1.31,0.00,1.28,,,,,,,1,,wilsost02
35,Jared Shuster,26,9,0,0,11.1,1,0,1,0,0,1.000,,,0,0,0.79,1.27,0.11,1.28,,,,,,,/1,,shustja01
36,Gage Workman,25,3,1,0,9.0,5,3,1,1,1,.800,-1,-127,-1,-133,4.00,2.70,1.33,2.83,,,,,,,/56H,,workmga01
37,Fraser Ellard,27,7,0,0,6.2,1,0,1,0,0,1.000,,,0,0,1.35,1.35,0.14,1.29,,,,,,,/1,,ellarfr01
38,Mike Clevinger,34,8,0,0,5.2,3,2,1,0,0,1.000,,,0,0,4.76,1.27,0.38,1.28,,,,,,,/1,,clevimi01
39,Caleb Freeman,27,4,0,0,2.1,0,0,0,0,0,,,,0,0,0.00,1.16,0.00,1.28,,,,,,,/1,,freemca01
40,Greg Jones,27,1,0,0,2.0,2,2,0,0,0,1.000,0,120,0,0,9.00,2.25,2.00,2.30,,,,,,,/H9,,jonesgr02
41,Yoendrys Gómez,25,2,0,0,2.0,1,1,0,0,0,1.000,,,0,0,4.50,1.35,0.50,1.30,,,,,,,/1,,gomezyo01
42,Miguel Castro,30,1,0,0,1.1,0,0,0,0,0,,,,0,0,0.00,1.35,0.00,1.30,,,,,,,/1,,castrmi01
,Infield Shifts,,,,,,,,,,,,,,4,,,,,,,,,,,,,,-9999
,Non-Shift Infield Positioning,,,,,,,,,,,,,,2,,,,,,,,,,,,,,-9999
,Outfield Positioning,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,-9999
,Team Totals,,46,46,270,394.0,1590,1183,374,33,100,.979,-11,-4,-10,-4,3.95,3.95,2.34,3.33,1,14,42,13,23.6,3,,,-9999
