Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Jonathan Cannon,24,SP,1.0,2,5,.286,3.76,10,8,0,0,0,0,55.0,55,24,23,6,17,0,42,3,1,2,237,109,4.07,1.309,9.0,1.0,2.8,6.9,2.47,,cannojo02
2,Davis Martin,28,SP,0.6,2,4,.333,3.65,9,8,0,0,0,0,49.1,55,24,20,6,12,0,33,3,0,1,210,112,4.24,1.358,10.0,1.1,2.2,6.0,2.75,,martida03
3,Shane Smith,25,SP,1.3,1,3,.250,2.05,9,9,0,0,0,0,48.1,39,18,11,2,16,0,43,5,0,5,202,200,3.15,1.138,7.3,0.4,3.0,8.0,2.69,,smithsh02
4,Sean Burke,25,SP,-0.1,2,5,.286,4.69,10,9,0,0,0,0,48.0,46,30,25,9,27,0,33,4,0,2,218,87,6.09,1.521,8.6,1.7,5.1,6.2,1.22,,burkese01
5,Martín Pérez*,34,SP,0.6,1,1,.500,3.15,4,4,0,0,0,0,20.0,14,7,7,1,11,0,18,1,0,0,83,131,3.74,1.250,6.3,0.5,5.0,8.1,1.64,,perezma02
6,Brandon Eisert*,27,RP,-0.2,1,0,1.000,5.68,19,2,4,0,0,1,19.0,26,12,12,2,5,1,22,3,0,1,89,73,3.40,1.632,12.3,0.9,2.4,10.4,4.40,,eiserbr01
7,Cam Booser*,33,RP,0.0,1,3,.250,4.41,19,0,6,0,0,1,16.1,12,9,8,3,8,0,18,2,0,0,71,94,5.11,1.224,6.6,1.7,4.4,9.9,2.25,,booseca01
8,Jordan Leasure,26,RP,0.1,0,3,.000,4.11,19,0,5,0,0,0,15.1,15,8,7,4,8,1,22,0,0,1,68,101,5.17,1.500,8.8,2.3,4.7,12.9,2.75,,leasujo01
9,Penn Murfee,31,RP,-0.4,0,1,.000,7.82,15,0,4,0,0,0,12.2,19,11,11,3,5,0,13,1,0,0,63,53,5.54,1.895,13.5,2.1,3.6,9.2,2.60,,murfepe01
10,Bryse Wilson,27,,-0.3,0,2,.000,6.00,14,4,4,0,0,0,33.0,45,22,22,8,14,0,19,1,0,0,153,68,6.45,1.788,12.3,2.2,3.8,5.2,1.36,,wilsobr02
11,Mike Vasil,25,,0.8,2,1,.667,1.98,14,0,7,0,0,1,27.1,17,7,6,1,19,3,17,3,1,0,118,208,4.73,1.317,5.6,0.3,6.3,5.6,0.89,,vasilmi01
12,Steven Wilson,30,,0.6,1,0,1.000,2.03,13,0,0,0,0,0,13.1,5,3,3,2,6,0,13,0,0,0,50,206,4.44,0.825,3.4,1.4,4.1,8.8,2.17,,wilsost02
13,Tyler Gilbert*,31,,0.0,1,1,.500,4.85,13,3,2,0,0,0,13.0,8,7,7,2,7,0,16,0,0,0,52,86,4.24,1.154,5.5,1.4,4.8,11.1,2.29,,gilbety01
14,Jared Shuster*,26,,-0.2,0,0,,7.15,9,0,3,0,0,0,11.1,18,10,9,0,4,2,9,1,0,1,58,59,2.82,1.941,14.3,0.0,3.2,7.1,2.25,,shustja01
15,Fraser Ellard*,27,,-0.2,0,2,.000,6.75,7,0,3,0,0,0,6.2,1,5,5,0,6,0,10,1,0,0,25,64,3.24,1.050,1.4,0.0,8.1,13.5,1.67,,ellarfr01
16,Mike Clevinger,34,,-0.2,0,2,.000,7.94,8,0,3,0,0,0,5.2,5,5,5,0,8,0,3,0,0,1,31,55,6.26,2.294,7.9,0.0,12.7,4.8,0.38,,clevimi01
17,Miguel Castro,30,,-0.1,0,0,,10.13,2,0,1,0,0,0,2.2,4,3,3,0,2,0,2,0,0,0,14,46,3.84,2.250,13.5,0.0,6.8,6.8,1.00,,castrmi01
18,Caleb Freeman,27,,-0.1,0,0,,7.71,4,0,2,0,0,0,2.1,4,2,2,1,1,0,2,0,0,0,12,61,8.23,2.143,15.4,3.9,3.9,7.7,2.00,,freemca01
19,Yoendrys Gómez,25,,-0.1,0,0,,13.50,2,0,2,0,0,0,2.0,3,3,3,0,1,0,1,1,0,0,10,36,5.09,2.000,13.5,0.0,4.5,4.5,1.00,,gomezyo01
20,Jacob Amaya,26,,0.0,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,,3.09,0.000,0.0,0.0,0.0,0.0,,,amayaja01
,Team Totals,,,3.3,14,33,.298,4.23,47,47,47,0,0,3,402.1,391,210,189,50,177,7,336,29,2,14,1767,98,4.57,1.412,8.7,1.1,4.0,7.5,1.90,,-9999
